time;CH1;CH2
0.2416;4;1.36
0.242;4;1.36
0.2424;3.8;1.36
0.2428;4;1.36
0.2432;4;1.36
0.2436;4;1.44
0.244;4;1.44
0.2444;4;1.36
0.2448;4;1.36
0.2452;4;1.36
0.2456;4;1.44
0.246;4;1.36
0.2464;4;1.36
0.2468;4.2;1.36
0.2472;4;1.44
0.2476;4;1.36
0.248;4;1.44
0.2484;4;1.36
0.2488;4;1.44
0.2492;4;1.44
0.2496;4;1.44
0.25;4.2;1.44
0.2504;4;1.44
0.2508;4;1.44
0.2512;4.2;1.44
0.2516;4;1.44
0.252;4;1.44
0.2524;4;1.44
0.2528;4.2;1.44
0.2532;4.2;1.44
0.2536;4.2;1.44
0.254;4.2;1.44
0.2544;4.2;1.52
0.2548;4.2;1.52
0.2552;4.2;1.52
0.2556;4.2;1.52
0.256;4.2;1.52
0.2564;4.2;1.52
0.2568;4.2;1.52
0.2572;4.2;1.52
0.2576;4.2;1.52
0.258;4.2;1.52
0.2584;4.2;1.52
0.2588;4.2;1.52
0.2592;4.2;1.52
0.2596;4.2;1.52
0.26;4.2;1.52
0.2604;4.2;1.52
0.2608;4.2;1.52
0.2612;4.2;1.52
0.2616;4.2;1.52
0.262;4.2;1.52
0.2624;4.2;1.52
0.2628;4.2;1.52
0.2632;4.2;1.52
0.2636;4.4;1.52
0.264;4.2;1.52
0.2644;4.2;1.52
0.2648;4.2;1.52
0.2652;4.2;1.52
0.2656;4.4;1.52
0.266;4.2;1.6
0.2664;4.2;1.52
0.2668;4.2;1.52
0.2672;4.4;1.6
0.2676;4.4;1.52
0.268;4.4;1.6
0.2684;4.4;1.6
0.2688;4.4;1.52
0.2692;4.4;1.6
0.2696;4.4;1.6
0.27;4.4;1.6
0.2704;4.2;1.6
0.2708;4.4;1.6
0.2712;4.4;1.6
0.2716;4.4;1.6
0.272;4.4;1.6
0.2724;4.4;1.6
0.2728;4.4;1.6
0.2732;4.4;1.6
0.2736;4.4;1.6
0.274;4.4;1.6
0.2744;4.4;1.6
0.2748;4.4;1.68
0.2752;4.4;1.6
0.2756;4.4;1.68
0.276;4.4;1.68
0.2764;4.4;1.6
0.2768;4.4;1.68
0.2772;4.4;1.68
0.2776;4.6;1.68
0.278;4.4;1.6
0.2784;4.4;1.6
0.2788;4.6;1.68
0.2792;4.4;1.6
0.2796;4.4;1.68
0.28;4.6;1.68
0.2804;4.4;1.6
0.2808;4.4;1.6
0.2812;4.6;1.68
0.2816;4.6;1.68
0.282;4.6;1.68
0.2824;4.6;1.68
0.2828;4.6;1.68
0.2832;4.6;1.76
0.2836;4.6;1.68
0.284;4.6;1.68
0.2844;4.6;1.68
0.2848;4.8;1.68
0.2852;4.6;1.68
0.2856;4.6;1.68
0.286;4.6;1.76
0.2864;4.6;1.68
0.2868;4.6;1.76
0.2872;4.6;1.76
0.2876;4.6;1.76
0.288;4.6;1.76
0.2884;4.6;1.76
0.2888;4.6;1.76
0.2892;4.6;1.76
0.2896;4.6;1.76
0.29;4.8;1.76
0.2904;4.6;1.68
0.2908;4.8;1.76
0.2912;4.6;1.76
0.2916;4.8;1.76
0.292;4.8;1.76
0.2924;4.8;1.76
0.2928;4.8;1.76
0.2932;4.8;1.76
0.2936;4.8;1.76
0.294;4.8;1.76
0.2944;4.8;1.76
0.2948;4.8;1.76
0.2952;4.8;1.76
0.2956;4.8;1.76
0.296;4.8;1.76
0.2964;4.8;1.76
0.2968;4.8;1.76
0.2972;4.8;1.76
0.2976;4.8;1.76
0.298;4.8;1.76
0.2984;4.8;1.76
0.2988;4.8;1.76
0.2992;4.8;1.76
0.2996;4.8;1.76
0.3;4.8;1.76
0.3004;4.8;1.76
0.3008;4.8;1.84
0.3012;4.8;1.76
0.3016;4.8;1.76
0.302;4.8;1.76
0.3024;4.8;1.76
0.3028;4.8;1.76
0.3032;4.8;1.84
0.3036;5;1.84
0.304;5;1.76
0.3044;4.8;1.84
0.3048;4.8;1.84
0.3052;5;1.84
0.3056;5;1.84
0.306;5;1.84
0.3064;5;1.84
0.3068;5;1.84
0.3072;5;1.84
0.3076;5;1.84
0.308;5;1.84
0.3084;5;1.84
0.3088;5;1.84
0.3092;5;1.76
0.3096;5;1.84
0.31;5;1.84
0.3104;5.2;1.84
